anakjakartaasikasik,anak jakarta asyik asyik
atheisdete,ateis mati
attabrani,ath thabrani
atlit,atlet
atmajaya,atma jaya
atongkepoh,atomg kepo
antraksi,atraksi
atur2,atur atur
aulyaa,auliya
ausi,australia
aussie,australia
aviaa,avia
awaass,awas
awakarin,awkarin
ayak2,ayak ayak
ayamkampus,ayam kampus
ayamorr,ayamor
ayashiyan,ayashiya
ayat2,ayat ayat
ayoh,ayo
ayuh,ayo
ayohbangsa,ayo bangsa
ayoindonesia,ayo indonesia
ayokedamraman,ayo ke dam raman
ayokefestivalpesonabunaken,ayo ke festival pesona bunaken
ayopenjarakan,ayo penjarakan
ayutingting,ayu ting ting
ayyub,ayub
adzab,azab
adzan,azan
adzanin,azankan
adzim,azim
aziim,azim
baa,ba
baag,ba
babihok,babi ahok
babyy,baby
bacakorankaltim,baca koran kalimantan timur
baca2in,bacakan
bacain,bacakan
backstage,back stage
backtocampus,back to campus
bacod,bacot
awakmu,badanmu
baduy,badui
badut2,badut badut
bagaiamana,bagaimana
bagmna,bagaimana
bagia,bagian
bagian2,bagian bagian
bahanakan,bahan akan
bahancoli,bahan coli
bahalul,bahlul
baek2in,baik baiki
angst,bangsat
akeh,banyak
baggona,begitu
ambisional,berambisi
b2,berdua
b4,berempat
awek,cewek
aras2en,enggan
abiez,habis
abizz,habis
abisan,habisnya
abisnya,habisnya
ahahah,haha
ahahahaha,haha
ahahahahaha,haha
ahhahahha,haha
ajhakabahajha,haha
baahahahahahahahahhahah,haha
bahaha,haha
allooww,halo
alus,halus
ancoor,hancur
ancor,hancur
ancur2,hancur hancur
ancuran,hancuran
ancurin,hancurkan
anget2,hangat hangat
angetin,hangatkan
apuss,hapus
atine,hatinya
ads,iklan
aipet,ipad
aok,iya
ancok,jancuk
aki2,kakek kakek
apankah,kapan kah
adilan,keadilan
awsum,keren
arut,larut
‚ maroko,maroko
arep,mau
backingin,melindungi
angkrem,mengerami
arulin,pada bermain
accny,persetujuannya
Ωramayana,ramayana
adolexcent,remaja
ajach,saja
ajadeh,saja deh
ay,say
aingpersibaingpolitik,saya persib saya politik
agalanya,segalanya
akrg,sekarang
afternya,setelahnya
amak,tikar
aplot,unggah
apdet,update
que,aku
qur‚,alquran
qurra,alquran
quranku,alquranku
pimen,bagaimana
piye,bagaimana
pimensiv,bagaimana sih
replyan,balasan
pisann,banget
rebutan,berebut
rapopo,enggak apa apa
raiso,enggak bisa
raisin,enggak malu
rausahmundurrausahwedi,enggak perlu mundur enggak perlu takut
rauwisuwis,enggak selesai selesai
raseneng,enggak suka
rausa,enggak usah
pilosofi,filosofi
pitnah,fitnah
poto,foto
potonya,fotonya
prustasi,frustrasi
qizi,gizi
pingn,ingin
pinginnya,inginnya
pidex,injak
qabul,kabul
qn,kan
rein,kendali
rantis,kendaraan taktis
polda,kepolisian daerah
polri,kepolisian republik indonesia
polsek,kepolisian sektor
qususi,khusus
qishosjokowi,kisas jokowi
qitaab,kitab
qty,kuantitas
quda,kuda
quiz,kuiz
quota,kuota
qurban,kurban
quote,kutipan
plantaran,lantaran
report,laporan
reportnya,laporannya
pisuhi,marahi
promote,mempromosikan
reti,mengerti
realized,menyadari
ping,merah muda
pink,merah muda
pink2,merah muda
qizmin,miskin
pngebetnya,ngebet
qey,oke
rlnya,pacarnya
pqdahal,padahal
pokcoy,pakcoy
pmi,palang merah indonesia
plmbng,palembang
plestina,palestina
pntas,pantas
pnts,pantas
praah,parah
pkpi,partai keadilan dan persatuan indonesia
pks,partai keadilan sejahtera
pksbersamaulama,partai keadilan sejahtera bersama ulama
pkskhawatir,partai keadilan sejahtera khawatir
pkb,partai kebangkitan bangsa
pkbnomorsatu,partai kebangkitan bangsa nomor satu
pkc,partai komunis cina
pki,partai komunis indonesia
pkibukanindonesia,partai komunis indonesia bukan indonesia
pkiklau,partai komunis indonesia kalau
pni,partai nasional indonesia
prd,partai rakyat demokratik
psanganya,pasangannya
pstikan,pastikan
ptut,patut
pns,pegawai negeri sipil
pjs,pejabat sementara
pjalan,pejalan
pios,pekan ilmiah olahraga dan seni mahasiswa
pkrja,pekerja
psk,pekerja seks komersial
pr,pekerjaan rumah
pupr,pekerjaan umum dan perumahan rakyat
pler,peler
pulihara,pelihara
pmain,pemain
pmbangunan,pembangunan
pmbngunan,pembangunan
pmtb,pembentukan modal tetap bruto
pmgang,pemegang
pmrintah,pemerintah
pmrnth,pemerintah
pmrth,pemerintah
prri,pemerintahan revolusioner republik indonesia
rapist,pemerkosa
pulkada,pemilihan kepala daerah
pilpres,pemilihan presiden
pilpres2019,pemilihan presiden 2019
pmimpinnya,pemimpinnya
pmpek,pempek
pollingnya,pemungutan suaranya
pinalti,penalti
prnampilan,penampilan
pndptn,pendapatan
pnddikan,pendidikan
plk,pendidikan layanan khusus
pndkung,pendukung
pndukung,pendukung
pn,pengadilan negeri
ptun,pengadilan tata usaha negara
pngkuan,pengakuan
pngangguran,pengangguran
pngangkut,pengangkut
pngndara,pengendara
pngertian,pengertian
pngikut,pengikut
pollower,pengikut
pngkhianat,pengkhianat
pngunjung,pengunjung
pwnu,pengurus wilayah nahdlatul ulama
pnjg,penjaga
pting,penting
pnukaran,penukaran
pointernya,penunjuknya
pnyebar,penyebar
provider,penyedia
providernya,penyedianya
prasaanku,perasaanku
prepres,peraturan presiden
prbedaan,perbedaan
prcaya,percaya
prcma,percuma
prekonomian,perekonomian
pmii,pergerakan mahasiswa islam indonesia
ptkin,perguruan tinggi keagamaan islam negeri
pmk,perhimpunan mahasiswa katolik
pmkri,perhimpunan mahasiswa katolik republik indonesia
priode,periode
prkataan,perkataan
prsamaan,persamaan
pui,persatuan umat islam
prsaudaraan,persaudaraan
prosntasi,persentase
ptfi,perseroan terbatas freeport indonesia
ptpn,perseroan terbatas perkebunan nusantara
prthankn,pertahankan
prtama,pertama
prshn,perusahaan
pln,perusahaan listrik negara
porut,perut
pswat,pesawat
picrk,picek
pikiran2,pikiran pikiran
pkrannya,pikirannya
pikirin,pikirkan
pikirqu,pikirku
plh,pilih
pilihgusipulmbakputi,pilih gus ipul mbak puti
pilih2,pilih pilih
plhn,pilihan
pilgu,pilihan gubernur
pilgub,pilihan gubernur
pilgubjateng2018,pilihan gubernur 2018
pilgubdki,pilihan gubernur daerah khusus ibukota
pilgubjabar2018,pilihan gubernur jawa barat 2018
pilgubjat3ngtanpahoax,pilihan gubernur jawa tengah tanpa hoaks
pilgubsu2018,pilihan gubernur sumatera utara 2018
pilkada,pilihan kepala daerah
pilkada2018,pilihan kepala daerah 2018
pilkadaacehselatan2018,pilihan kepala daerah aceh selatan 2018
pilkada‚ berintegritas,pilihan kepala daerah berintegritas
pilkada‚ deliserdang,pilihan kepala daerah deliserdang
pilkadako,pilihan kepala daerah kota bogor
pilkadakotabogo,pilihan kepala daerah kota bogor
pilkada‚ langsung,pilihan kepala daerah langsung
pilkadamalang,pilihan kepala daerah malang
pilkadaseharusnyamemberikandampakpositif,pilihan kepala daerah seharusnya memberikan dampak positif
pilkada‚ serentak,pilihan kepala daerah serentak
pileg,pilihan legislatif
pilihan2,pilihan pilihan
pilihanprabowountukjabar,pilihan prabowo untuk jawa barat
pilihanya,pilihannya
pimred,pimpinan redaksi
pinn,pin
pinff,pinoy
pintet,pintar
pintar2,pintar pintar
pinter2,pintar pintar
pinternya,pintarnya
piramid2,piramida piramida
pisank,pisang
pyjamas,piyama
ps,play station
psn,play station network
playvictim,play victim
pliss,please
planga,plonga
plenjas,plonga
plongaplo,plonga plongo
plongaplongo,plonga plongo
plenjus,plongo
pluralism,pluralisme
ples,plus
point2,poin poin
poÔ,point of interest
pojoksatu,pojok satu
pokoknyah,pokoknya
poll,pol
poland,polandia
polemikpemberantasanterorisme,polemik pemberantasan terorisme
poly,poli
poligamy,poligami
poiisi,polisi
polres,polisi resor
polsis,polisi siswa
polman,politeknik manufaktur negeri bandung
politicianacademy,politician academy
politicid,politik
polhukam,politik hukum dan keamanan
pilitiknya,politiknya
politik‚,politiknya
politisi2,politiknya
politusi,politisi
poling,polling
plos,polos
pondokleleaksanacirebon,pondok lele aksana cirebon
ponpes,pondok pesantren
populerb1,populer
porn,porno
portoflio,portofolio
poskotanews,pos kota news
positive,positif
positiflugasdanmencerahkan,positif lugas dan mencerahkan
poskojoin,posko join
pospera,posko perjuangan rakyat
posterdakwah,poster dakwah
posting2,posting posting
potong‚ atas‚,potongan atas
pp10sempurna,pp 10 sempurna
ppforjokowi,pp for jokowi
pre,pra
prakemerdekaan,pra kemerdekaan
prakhotbah,pra khotbah
praun,pra ujian nasional
prabon,prabowo
prabowo2periode,prabowo 2 periode
prabowoanismatta,prabowo anis matta
prabocor,prabowo bocor
prabowoforpresiden2019,prabowo for presiden 2019
prabowogagalmoveon,prabowo gagal move on
prabowountukindonesia,prabowo untuk indonesia
praketik,praktik
praktekan,praktikan
prakteknya,praktiknya
pratyay,pratyaya
prayformahasiswaui,pray for mahasiswa ui
prayforrohingya,pray for rohingya
prediksinggrisjuarapd2018,prediksi inggris juara pada 2018
premiosmt,premios mt
pstmt,prepared statement
plesiden,presiden
presid,presiden
preside,presiden
presidens,presiden
president,presiden
presuden,presiden
prsiden,presiden
presiden2019,presiden 2019
presidenabadi,presiden abadi
presiden‚ soeharto,presiden soeharto
presidentnya,presidennya
presidenya,presidennya
pt20langgarkonstitusi,presidential threshold langgar konstitusi
prestasli,prestasi
prestasiny,prestasinya
preet,pret
pref,pret
prett,pret
pri,pria
pribumu,pribumi
princes,princess
prinsip2,prinsip prinsip
println,print
print130k,print 130 ribu
prioriti,prioritas
procina,pro cina
prokorupt,pro koruptor
problem2,problem problem
provo,proco
ploduk,produk
produ,produk
product,produk
prukades,produk unggulan kawasan perdesaan
produktifitas,produktivitas
produktifitasnya,produktivitasnya
podusen,produsen
producer,produser
professional,profesional
professor,profesor
profile,profil
prog,program
program16,program 16
program18,program 18
program8,program 8
pkh,program keluarga harapan
pkhsupergusipulputi,program keluarga harapan super gus ipul puti
proker,program kerja
pkm,program kreativitas mahasiswa
program2,program program
progran2,program program
prodi,program studi
progresi,progres
progressive,progresif
projo,promo
promosiin,promosikan
property,properti
protection,proteksi
protek,proteksi
protestant,protestan
ptc,provides technology solutions
prov,provinsi
provokativ,provokatif
provikator,provokator
project,proyek
proyek2,proyek proyek
pru14,pru 14
pseduo,pseudo
psyco,psiko
psychologist,psikolog
puasin,puaskan
public,publik
puisigus,puisi gus
puja2,puja puja
pkul,pukul
pulng,pulang
pulangmengundi,pulang mengundi
pulang2,pulang pulang
pulangin,pulangkan
pula,pulau
pulau2,pulau pulau
pululan,pullulan
polpen,pulpen
puluhancina,puluhan cina
pun‚,punah
pungli,pungutan liar
pungutin,punguti
punyo,punya
purn,purna
pwt,purwokerto
poseng,pusing
posing,pusing
pusying,pusing
rieutt,pusing
puteeh,putih
poetri,putri
putus2,putus putus
putusin,putuskan
qias,qiyas
quraisyh,quraisy
rabbaniah,rabbaniyah
rabbah,rabi
rabbi,rabi
rabbikuma,rabikuma
rabuseru,rabu seru
rasict,racist
rasis,racist
rada2,rada rada
radenmas,raden mas
radicals,radikal
radiohead,radio head
raditia,raditya
raffiahmad,raffi ahmad
rag,raga
raj,raja
raja2,raja raja
rcti,rajawali citra televisi indonesia
rokaat,rakaat
rakhin,rakhine
raktat,rakyat
rakyak,rakyat
rayat,rakyat
rakyatbersamafpi,rakyat bersama front pembela islam
rakyatb3rsamajkw,rakyat bersama jokowi
rakyatmaujokowi2019,rakyat mau jokowi 2019
rmol,rakyat merdeka on line
rakyatpintar,rakyat pintar
rakyatn,rakyatnya
ramadhan,ramadan
ramasan,ramadan
rmai,ramai
ramai2,ramai ramai
rame2nya,ramai ramainya
ramenya,ramainya
rapet,rapat
rakercabsu‚,rapat kerja cabang khusus
rakercabsus,rapat kerja cabang khusus
rakor,rapat koordinasi
rapimnas,rapat pimpinan nasional
repeh,rapi
rapihkan,rapikan
rapiin,rapikan
rasakeenn,rasakan
rasanonosak,rasakan sampai
rasanyaa,rasanya
rasioanal,rasional
rational,rasional
rasulillah,rasulullah
rasullah,rasulullah
rato,rata
rerata,rata rata
rata2nya,rata ratanya
rauff,rauf
raub,raup
rafen,raven
rawa2,rawa rawa
rawamamgun,rawamangun
rawasaribagjadiri,rawasari bagja diri
razak‚,razak
rhu,razia hiburan umum
raziff,razif
reder,reader
readyforindustry4,ready for industry 4
rmfc,real madrid football club
reality,realita
realitinya,realitanya
redbonssaverohingya,redbone save rohingya
refrensi,referensi
reflek,refleks
reform,reformasi
reforma,reformasi
register40,register 40
ragweda,regweda
reklomasi,reklamasi
reksadanasam,reksadana
rdpu,reksadana pasar uang
relain,relakan
repdem,relawan pejuang demokrasi
realava,relevan
relijius,religius
renpel,rempel
remek,remuk
remukan,remukkan
rka,rencana kerja dan anggaran
renfah,rendah
rendeman,rendaman
rendrasanusi,rendra sanusi
renovate,renovasi
refo,repo
republic,republik
ri1,republik indonesia 1
ri2,republik indonesia 2
req,request
rese,resek
recep,resep
residence,residen
resident,residen
responden2,responden responden
restar,restart
restorannya,restoran
restuin,restui
resultjapan,result japan
returnthekhilafah,return the khilafah
retwet,retweet
ritwit,retweet
reuniz,reuni
rejekine,rezekinya
r3jim,rezim
razim,rezim
rezimrepresifantiislam,rezim represif anti islam
riau,riau
rba,riba
rbu,ribu
ribu2,ribu ribu
ribuut,ribut
ribut2,ribut ribut
ridho,rida
ridhoi,ridai
ridhuan,ridwan
ridwal,ridwan
ridwankamil,ridwan kamil
rie,rien
rilischarta,rilis charta
rindhu,rindu
rinduanismatta,rindu anis matta
rindujabarjuara,rindu jawa barat juara
rindujabarjuara1,rindu jawa barat juara 1
rindujabarjuaranomor1,rindu jawa barat juara nomor 1
rinduyang,rindu yang
risetdansdmkp,riset dan sumber daya manusia kelautan dan perikanan
resiko,risiko
resikonya,risikonya
resleting,ritsleting
rijik,rizieq
rizik,rizieq
robet,robert
robbi,robi
robbie,robi
robotbijak,robot bijak
roc,rock
rockygering,rocky gerung
rohingnya,rohingya
rohingyang,rohingya
rohinya,rohingya
rollercoaster,roller coaster
rojak,rozak
risha,rumah instan sederhana sehat
relah,telah
robah,ubah
piral,viral
qkwjw,wkwk
qkwk,wkwk
miinn,admin
minmin,admin
mentionan,berbalas mention
moal,enggak
millionaire,jutawan
metu,keluar
mistake,kesalahan
mighty,kuat
mkna,makna
mkne,makna
mls2an,malas malasan
mmh,mama
mmpu,mampu
mnakah,manakah
mnfaatnya,manfaatnya
mntan,mantan
mentab,mantap
menungso,manusia
mnusia,manusia
mesih,masih
mepo,meeting point
mey,mei
mlarang,melarang
mlembabkn,melembabkan
mlempemm,melempem
mliat,melihat
mlintir,melintir
mlipirnya,melipirnya
mlorot,melorot
mlulu,melulu
mlpakn,melupakan
mengolok2,memaki
mengatainya,memakinya
mklumin,memaklumkan
mnh,memanah
mmbawa,membawa
mmbntuk,membentuk
mmbuat,membuat
mmbuktikan,membuktikan
mmbunuh,membunuh
mmberantas,memebrantas
mmcah,memecah
menuh2in,memenuhi
menuhin,memenuhi
micingin,memicing
mikiri,memikirkan
mikirnya,memikirnya
mmilih,memilih
mmliki,memiliki
minjam,meminjam
mintain,memintakan
mesantren,memondok di pesantren
mmperhatikannya,memperhatikannya
mmperingati,memperingati
mnakuti,menakuti
mnampakkan,menampakkan
mnang,menang
mnanti,menanti
mncari,mencari
mncuat,mencuat
mncuci,mencuci
mndptkan,mendapatkan
mndkti,mendekati
mndirikan,mendirikan
mnrbitkan,menerbitkan
menterjemahkan,menerjemahkan
mentranslate,menerjemahkan
mnerpa,menerpa
menngacu,mengacu
mngadu,mengadu
mengapaninya,mengafaninya
mengajari,mengajarkan
mngajarkan,mengajarkan
mngakses,mengakses
mngalami,mengalami
mengandun,mengandung
mngangkat,mengangkat
mengantrakan,mengantarkan
mngapa,mengapa
mengatas,mengatasi
mengexpose,mengekspose
menggelagarkan,mengelak
mengkelola,mengelola
mengelu2kan,mengelu elukan
mngembalikan,mengembalikan
mengenakkan,mengenakan
mngerdilkan,mengerdilkan
mngerjakan,mengerjakan
mngetahui,mengetahui
mnggambarkan,menggambarkan
menggatikan,menggantikan
mnggntung,menggantung
menggap,menggapai
mengembosi,menggembosi
menggenapka,menggenapkan
menggerakan,menggerakkan
mengigit,menggigit
mnggiring,menggiring
mengoda,menggoda
mengonggong,menggonggong
menguggat,menggugat
mengunakan,menggunakan
mnggunakan,menggunakan
mhalalkan,menghalalkan
mnghalangi,menghalangi
mnghapus,menghapus
menghrpkan,mengharapkan
menghampaskan,menghempaskan
mnghentak2,menghentak hentak
mnghentikan,menghentikan
mengimbau,menghimbau
menghinan,menghinanya
menhindar,menghindar
mengitung,menghitung
mnghujat,menghujat
mengikut,mengikuti
mengintruksikan,menginstruksikan
mengera,mengira
mngkoreksi,mengkoreksi
mengkriminilisisi,mengkriminalisasi
mngkritisi,mengkritisi
mengkonsumsi,mengonsumsi
mengcounter,mengonter
mengkoreksi,mengoreksi
mengusak,menguak
mngtkan,menguatkan
merubah,mengubah
mngusik,mengusik
mngusir,mengusir
mentiagakan,meniadakan
meniqa,menikah
meried,menikah
merit,menikah
menjudge,menilai
menisbatkan,menisbahkan
mnjabat,menjabat
mnjbat,menjabat
mjadi,menjadi
mniadi,menjadi
mnjadikn,menjadikan
menjadikan‚,menjadikannya
mjln,menjalankan
menjalintoleransi,menjalin toleransi
menjelek2,menjelek jelekan
menjijikan,menjijikkan
menjungjung,menjunjung
menola,menolak
menolakluka,menolak luka
menolaklupa,menolak lupa
mnton,menonton
mensip,mensiv
menstabilka,menstabilkan
mens,menstruasi
mentah2,mentah mentah
mentalita,mentalitas
mentaliti,mentalitas
mentang2,mentang mentang
mentei,menteri
mentri,menteri
menkumham,menteri hukum dan hak asasi manusia
menkelautan,menteri kelautan
menkes,menteri kesehatan
menkominfo,menteri komunikasi dan informasi
menlu,menteri luar negeri
menteri2,menteri menteri
menko,menteri perekonomian
menhub,menteri perhubungan
mensesneg,menteri sekretaris negara
mensos,menteri sosial
mentil2,mentil mentil
mensyen,mention
mention,mention
mensen2,mention mention
mensyennya,mentionnya
mnuju,menuju
menujuindonesiamaju,menuju indonesia maju
menjukkan,menunjukkan
menunjukan,menunjukkan
mnurut,menurut
mnrtku,menurutku
menyak,menyakiti
menyama2,menyamakan
menyanju,menyanjung
mnyapu,menyapu
mnyebabkn,menyebabkan
mnyebut,menyebut
menyebut‚,menyebutnya
menyejukan,menyejukkan
menyelamatka,menyelamatkan
menyelematkan,menyelamatkan
mnyematkn,menyematkan
menyenan,menyenangkan
mengerjap,menyergap
menyesalboviatwitter,menyesal boviat twitter
mensiasati,menyiasati
mnyimpang,menyimpang
mensucikan,menyucikan
mnyudutkan,menyudutkan
mensukseskan,menyukseskan
menyusahkn,menyusahkan
mnyusahkanmu,menyusahkanmu
menzhalimi,menzalimi
merah2,merah merah
merajalele,merajalela
merampa,merampas
mgerasa,merasa
mesakno,merasakan
merauk,meraup
mercedez,mercedes
mercy,mercedes
merk,merek
meremat,meremet
merentas,meretas
merong2,merong merong
merupakan‚ airport,merupakan bandara
merosakkan,merusakkan
mess,mes
mesopotamian,mesopotamia
messy,messi
mesoom,mesum
mesumm,mesum
metodologis,metodologi
mewh,mewah
mewoh,mewah
mewaiskan,mewariskan
mi‚,mia
mikael,michael
migraine,migrain
milenia,milenial
millenials,milenial
milyarder,miliarder
mlik,milik
mine,milikku
minggon,mingguan
menimal,minimal
minions,minion
minoriti,minoritas
minority,minoritas
minorutas,minoritas
minumkopiindonesia,minum kopi indonesia
miras,minuman keras
misi1,misi 1
misix,misi 10
misi4,misi 4
misqin,miskin
misqueen,miskin
miskinmoralitascuihh,miskin moralitas cih
mizan35,mizan 35
mobel,mobil
mobilmotor,mobil motor
mobnas,mobil nasional
mlai,mulai
mereun,mungkin
mngkn,mungkin
mnet,music network
mikiir,pikir
mikirr,pikir
mikirdaaingmah,pikir dulu dah gue mah
milihh,pilih
milih2,pilih pilih
mid,tengah
middle,tengah
nhadeh,aduh
nhadeuuh2,aduh aduh
nhalah,alah
nhlh,alah
njeng,anjing
njiieng,anjing
njiing,anjing
njing,anjing
njingg,anjing
njer,anjir
ngmn,bagaimana
npiye,bagaimana
nngebah,bahas
npbangunan,bangunan
ngono,begitu
ngegayaan,bergaya
ngibadah,beribadah
ngilmu,berilmu
ngumpulnya,berkumpulnya
ngutang,berutang
nngutang,berutang
nolelah,bolehlah
nggakk,enggak
nnga,enggak
noopst,enggak
nop,enggak
nope,enggak
ngpp,enggak apa apa
nntah,entah
nntar,entar
ngeblek,geblek
ngr,gede rasa
ngejala,gejala
ngembrot,gembrot
ngerakan,gerakan
ngilaa,gila
ngilee,gila
ngiliran,giliran
ngimanapun,gimanapun
ngirls,girls
ngitu,gitu
ngoblok,goblok
nguoblokk,goblok
ngolongan,golongan
ngua,gua
ngue,gue
ngw,gue
nhabis,habis
nhadiahnya,hadiahnya
ngeeooahahahaa,haha
ngeooaahahahaa,haha
ngoaahahaa,haha
ngoahaha,haha
ngoahahah,haha
ngoahahaha,haha
ngooaahahaa,haha
nhaha,haha
nhahaha,haha
nhahahaha,haha
nngahahahaha,haha
nngiahahaha,haha
nhaji,haji
nhalo,halo
nhancur,hancur
nhp,handphone
nhanya,hanya
nharga,harga
